RxNorm,ATC
1000000,C09DA08
1000001,C09DA08
1000003,C09DA08
1000005,C09DA08
10763,C09DA08
10772,C09DA08
11371,C09DA08
17767,C09DA08
1808,C09DA08
1982,C09DA08
21914,C09DA08
22033,C09DA08
2396,C09DA08
2409,C09DA08
2603,C09DA08
298869,C09DA08
3000,C09DA08
302285,C09DA08
316047,C09DA08
316049,C09DA08
321064,C09DA08
329526,C09DA08
329528,C09DA08
33770,C09DA08
358257,C09DA08
358775,C09DA08
359114,C09DA08
38413,C09DA08
403853,C09DA08
403854,C09DA08
403855,C09DA08
406041,C09DA08
4603,C09DA08
5487,C09DA08
5495,C09DA08
5764,C09DA08
59743,C09DA08
62349,C09DA08
644,C09DA08
6696,C09DA08
6774,C09DA08
6860,C09DA08
6916,C09DA08
847040,C09DA08
847042,C09DA08
847053,C09DA08
847055,C09DA08
847058,C09DA08
847059,C09DA08
847060,C09DA08
8565,C09DA08
9997,C09DA08
999966,C09DA08
999967,C09DA08
999969,C09DA08
999970,C09DA08
999971,C09DA08
999986,C09DA08
999988,C09DA08
999990,C09DA08
999991,C09DA08
999993,C09DA08
999995,C09DA08
999996,C09DA08
999998,C09DA08
1000000,C08GA02
1000001,C08GA02
1000003,C08GA02
1000005,C08GA02
1009217,C08GA02
1009314,C08GA02
1050796,C08GA02
1050798,C08GA02
1050800,C08GA02
1050801,C08GA02
1050802,C08GA02
1050803,C08GA02
1050804,C08GA02
1050805,C08GA02
1050806,C08GA02
1050807,C08GA02
1050808,C08GA02
1050809,C08GA02
1050810,C08GA02
1050811,C08GA02
1050812,C08GA02
1050813,C08GA02
1050814,C08GA02
10763,C08GA02
10772,C08GA02
11371,C08GA02
1600723,C08GA02
1600727,C08GA02
17767,C08GA02
1808,C08GA02
1982,C08GA02
21914,C08GA02
22033,C08GA02
2396,C08GA02
2409,C08GA02
2603,C08GA02
298869,C08GA02
3000,C08GA02
302285,C08GA02
315655,C08GA02
316047,C08GA02
316049,C08GA02
316079,C08GA02
316080,C08GA02
316627,C08GA02
316764,C08GA02
316765,C08GA02
316881,C08GA02
317482,C08GA02
321064,C08GA02
325646,C08GA02
329526,C08GA02
329528,C08GA02
331132,C08GA02
335013,C08GA02
