RxNorm,UMLS
240060,C0304475
372441,C0040616
896986,C0001645
1246689,C3653872
1795339,C0021081
1424246,C3653284
1424247,C3653284
1424244,C3653284
1795333,C0021081
1795332,C0021081
5981,C0003289
1795336,C0021081
1795334,C0021081
1797889,C3653871
372449,C3653754
362314,C3540732
200258,C3653824
29682,C0242896
849078,C3653773
242692,C3653501
1726216,C3653944
1726214,C3653944
1726215,C3653944
1726212,C3653944
1726213,C3653944
1726210,C3653840
270,C3653676
272,C3653756
245824,C0030842
1425110,C5401044
1425115,C5401044
1489914,C3542964
1489913,C3653933
1945172,C3653756
1945173,C3653756
1945174,C3653756··
367159,C3653755
1999004,C3653823
235961,C3653660
1872986,C0021081
1872984,C0021081
1872985,C0021081
1872983,C0021081
411434,C3653768
438864,C3540732
438862,C3653707
657615,C3653755
1424249,C3653284
1795337,C0021081
1372876,C3653741
1372875,C3653741
1372874,C3653741
1372873,C3653763
1246686,C3653798
2105925,C3540784
2105929,C3540784
1856268,C3653756
1859193,C3653337
1859191,C3653337
1304566,C3653741
1654863,C3653579
1654862,C3653579
1654861,C3653579
2179017,C3653914
2179019,C3653914
2179018,C3653914
285155,C3653319
584444,C3653752
285157,C3653798
285156,C3653749
285151,C3654018
285153,C3653756
285152,C3653798
1300373,C3653741
285159,C3653756
1944626,C3542964
1745282,C3653871
1435638,C3653933
1745284,C3653871
1435630,C3653768
1435632,C3653284
1435635,C3653284
1435634,C3653284
1992551,C3653741
1992552,C3653741
1992554,C3653741
1876358,C3653756
1876355,C3653284
1729078,C1563714
1490000,C3653285
433880,C3653737
433881,C3653737
900173,C3653767
1149629,C3653489
2108833,C0030842
1149627,C0040616
2108831,C0030842
2108830,C0030842
2108835,C0030842
2108834,C0030842
630005,C3653749
630004,C3653749
1246533,C3653798
1725177,C0002934
1725175,C0002934
446242,C3540784
2391749,C3653596
2391748,C3653596
2391745,C3653773
446248,C3653646
2391746,C3653773
1043704,C3540716
1043707,C3540716
1043708,C3540716
1659959,C3653285
1489130,C3653731
1489132,C3653731
1312365,C3653756
1312367,C3653671
1312361,C3653752
1312369,C3653813
1037198,C3653285
1602015,C3653798
1602016,C3653798
1602013,C3653798
1602019,C3653798
1549224,C3653756
1549225,C0002092
1094829,C3653798
1875870,C0003299
995897,C3540716
8299,C3653720
1928326,C0042742
1928327,C0042742
1928324,C0042742
1928329,C0042742
477563,C3653773
477562,C3653773
477561,C3653773
477560,C3653773
1718938,C3653944
860096,C3653622
1718932,C0040615
1718933,C0040615
1718930,C0040615
1718931,C0040615
1718936,C0040615
1718937,C3653944
1718934,C0040615
1718935,C0040615
1014599,C0002772
1014598,C0002772
1592790,C3653942
1014595,C3653335
562875,C3540732
562876,C3540732
250387,C3653492
250384,C3653553
250385,C0040615
1650281,C3653319
141848,C3653720
371839,C0002772
105630,C3653584
371834,C0007158
141843,C3540018
371830,C0007158
1927855,C1704311
1927856,C1704311
1927851,C1704311
1432541,C3653753
1927859,C1704311
1927858,C1704311
997492,C3653763
997493,C3653763
997490,C3653763
997491,C3653763
997494,C3653763
997495,C3653763
763181,C3653774
763183,C3653774
763185,C3653774
330900,C3540784
1547471,C0002092
349653,C0002772
1310593,C3653284
1310594,C3653756
727541,C0001551
210325,C3653532
727542,C0001551
727545,C0001551
727544,C0001551
1427033,C3653759
1291987,C3653594
1291986,C3653594
1599137,C3653754
800433,C3654018
6818,C3653813
855183,C3653764
855182,C3653764
800437,C3654018
855184,C3653764
800434,C3654018
855189,C3653764
855188,C3653764
6813,C3653935
6812,C3653676
6814,C3653495
6816,C3653564
891440,C3653336
891441,C3653336
997230,C3653789
564027,C3653762
1487356,C0020656
1441404,C0003376
1441407,C0003376
996727,C0002772
1441400,C3653756
596926,C0003289
596929,C0003289
596928,C0003289
996729,C0002772
996728,C0002772
575936,C1704311
1661432,C3653489
1661434,C3653756
1442172,C3653813
1596107,C3540784
1596108,C3540784
346380,C0030842
1735333,C3653756
1000500,C3653565
331696,C3653622
331697,C3653813
331694,C3653813
331695,C3653319
993804,C3653707
604651,C3653741
604650,C3653741
575932,C3653767
1425117,C5401044
1655221,C3653942
1425116,C5401044
59082,C3653741
1425118,C5401044
371813,C3653766
36696,C3654018
1430169,C3653285
2275182,C3653336
2275183,C3653336
2275181,C3653336
374552,C0357659
616289,C5401044
616288,C5401044
616281,C5401044
616283,C5401044
616282,C5401044
616285,C5401044
616284,C5401044
616287,C5401044
616286,C5401044
1945175,C3653756
206819,C0040616
1535218,C0021081
1797649,C0002772
1442524,C3653822
374754,C3653780
1797647,C0002772
1657443,C0004632
314285,C0003299
314286,C0040615
702464,C3653761
374755,C3540784
859750,C3653649
859751,C3653773
859752,C3653773
859753,C3653773
859759,C3653284
603978,C3540718
2201519,C3653489
1190052,C3653284
1190051,C3653844
603977,C3540718
603976,C3540718
366173,C0021081
366176,C3653822
231049,C3653694
1370656,C3540023
247463,C3653754
903440,C0279175
903442,C0279175
826661,C3653755
1872980,C0021081
1300468,C0004632
1294034,C3653798
1294036,C3653798
1300465,C0004632
1872478,C3539171
1294033,C3653798
1747571,C3539171
107287,C3653755
852844,C0002092
313773,C3653489
313774,C3653489
313777,C0040615
313776,C0040615
2371762,C3537250
1116949,C3653942
1117094,C3653759
1117095,C3653759
1117090,C3540716
2371768,C3537250
204445,C0001551
692847,C3653741
204442,C3653754
1367080,C3653284
692849,C3653741
692848,C3653741
1367087,C3540015
1727299,C3542964
252006,C3653753
404084,C3653319
404081,C3653319
329375,C3653822
18891,C3653319
18896,C3539177
1046700,C3653844
1046709,C3653285
1363423,C0003233
252430,C0003138
237057,C1704311
237058,C3540716
27792,C0361904
371027,C3653798
310404,C3653773
310405,C3653773
323980,C3540716
379012,C3653753
379014,C3653798
379016,C3653761
323986,C1533693
373014,C3540784
1247453,C3540787
316619,C3653768
316618,C3653768
316613,C0003374
316615,C0020592
316614,C0020592
316617,C3653768
316616,C3653768
629026,C3540784
2105926,C3540784
1305100,C3653284
259525,C3653756
1372870,C3653763
2122638,C0003376
2122635,C0003376
2122637,C0003376
1596947,C3653822
1596946,C3653822
1596945,C3653822
834159,C3653284
864645,C3653596
834152,C3653284
834151,C3653284
834150,C3653284
834156,C3653284
834155,C3653284
242438,C3653933
543873,C3653813
543872,C3653813
213182,C3653723
543879,C3653813
543878,C3653813
1720000,C3653756
1602569,C3540784
1602568,C3540784
1602567,C3540784
1602561,C0020592
13982,C3653942
1798363,C3654040
569069,C3653822
1798360,C3654040
1798367,C3654040
1798366,C3654040
1798364,C3654040
318076,C3653914
316520,C0040615
312615,C3653774
312614,C3653774
312617,C3653774
1372538,C3653756
406017,C3653501
406016,C3653501
406015,C3653765
2099999,C3653501
1001001,C3653780
17354,C3653756
2099993,C3653767
1001002,C3653780
2099995,C3653501
1001004,C0030512
1001006,C0030512
364904,C0021081
364901,C0003299
