RxNorm,UMLS
378466,C1252770
228054,C0752310
240060,C0777470
1494054,C3820363
372441,C1246491
378469,C1252773
896986,C2732121
2118569,C4762283
1246689,C1532444
1795339,C4256259
1795338,C4257216
1424246,C3643690
1424247,C3643811
1424244,C3643994
1424245,C3643593
1795333,C4257319
1795332,C4257275
1424248,C3643895
5981,C0022059
1246684,C3267601
1795336,C4257070
1795335,C4257005
1795334,C4256299
1797889,C4257295
372449,C1246499
1052999,C2961459
1666389,C4051424
235389,C0770355
362314,C1236226
235381,C0770345
1295537,C3466200
200258,C0694211
29682,C0066139
849078,C2684364
242692,C0781310
1726216,C1620677
1726214,C1618329
1726215,C4060135
1726212,C4060344
1726213,C4060343
1726210,C4059370
270,C0001268
272,C0001275
245824,C0786611
1312732,C3496664
1425110,C3644511
1165459,C3219711
316995,C0991569
1425115,C3644516
1489919,C3818809
1489918,C2353443
1489917,C0318115
1489916,C0318114
1489915,C0038174
1489914,C3817397
1489913,C0000378
1165456,C3219708
1651320,C4026142
1945172,C4523028
1945173,C4523029
1945174,C4523030
367159,C1241128
1999004,C4550784
1605120,C3892984
235961,C0771169
235960,C0771168
1370659,C3535835
1370658,C3535819
1872988,C4317675
1872986,C4316862
1370654,C3535839
1872984,C4316861
1872985,C4317673
1370651,C3535842
1872983,C4317672
1370653,C3535840
1370652,C3535841
818560,C2106307
411434,C1340690
1179245,C3233128
821005,C2079437
1314300,C3256714
438864,C1368300
438862,C1368298
657615,C1740078
657614,C1742038
1424249,C3642936
1432289,C3662993
1795337,C4257145
1372877,C3538461
1372876,C3538460
1372875,C3538459
1372874,C3538458
1372873,C3538457
1246686,C3267603
2105924,C4741407
2105925,C4741408
2105928,C4741411
2105929,C4741412
1372879,C3538462
705067,C1875796
1856268,C4293275
1042985,C2947889
371603,C1245644
1176114,C3230066
1176113,C3230065
1859192,C4293487
1859193,C4292627
1859191,C4293445
1304566,C2962712
1654863,C4027144
1654862,C3888219
1654861,C4027143
352784,C1170414
1314304,C3267229
1174976,C3228990
2179017,C5188175
352520,C1170147
2179013,C0255461
2045461,C0057242
237521,C0773197
237522,C0773198
2179019,C0715748
2179018,C5188176
285155,C0939804
584444,C1614163
285157,C0939806
285156,C0317625
285151,C0939799
285153,C0939802
285152,C0939801
1300373,C3474177
285159,C0939808
2178769,C5188127
1944626,C4522777
1745282,C4225073
1435638,C3665263
1488666,C3709972
1488667,C3700786
1745284,C4224956
1488665,C3709971
1435631,C3665257
1435630,C3665256
1435633,C3665259
1435632,C3665258
1435635,C3665260
1435634,C3665099
1435637,C3665262
1435636,C3665261
2202927,C5210168
1992550,C4535521
1992551,C4535522
1992552,C4535523
1992553,C4535524
1992554,C4535525
1992555,C4535526
1992556,C4535527
1992557,C4535528
1876359,C4325091
1876358,C4321296
1876355,C4325090
1869468,C4307242
1729078,C4074711
1490000,C3817247
433880,C1363150
433881,C1363151
900173,C0977728
2108839,C4745986
2108838,C4745985
1149629,C3204933
2108833,C4745980
1149627,C1585804
2108831,C4745978
2108830,C4745977
2108837,C4745984
2108836,C4745983
2108835,C4745982
2108834,C4745981
630005,C1702548
630004,C1703972
1246533,C3267534
2197492,C5196411
1725177,C4048493
1725175,C4048494
446242,C1377663
446243,C1377664
2391749,C5399317
