code,name
1,Incision and excision of CNS
10,Thyroidectomy; partial or complete
100,Endoscopy and endoscopic biopsy of the urinary tract
101,Transurethral excision; drainage; or removal urinary obstruction
102,Ureteral catheterization
103,Nephrotomy and nephrostomy
104,Nephrectomy; partial or complete
105,Kidney transplant
106,Genitourinary incontinence procedures
107,Extracorporeal lithotripsy; urinary
108,Indwelling catheter
109,Procedures on the urethra
11,Diagnostic endocrine procedures
110,Other diagnostic procedures of urinary tract
111,Other non-OR therapeutic procedures of urinary tract
112,Other OR therapeutic procedures of urinary tract
113,Transurethral resection of prostate (TURP)
114,Open prostatectomy
115,Circumcision
116,Diagnostic procedures; male genital
117,Other non-OR therapeutic procedures; male genital
118,Other OR therapeutic procedures; male genital
119,Oophorectomy; unilateral and bilateral
12,Other therapeutic endocrine procedures
120,Other operations on ovary
121,Ligation or occlusion of fallopian tubes
122,Removal of ectopic pregnancy
123,Other operations on fallopian tubes
124,Hysterectomy; abdominal and vaginal
125,Other excision of cervix and uterus
126,Abortion (termination of pregnancy)
127,Dilatation and curettage (D&C); aspiration after delivery or abortion
128,Diagnostic dilatation and curettage (D&C)
129,Repair of cystocele and rectocele; obliteration of vaginal vault
13,Corneal transplant
130,Other diagnostic procedures; female organs
131,Other non-OR therapeutic procedures; female organs
132,Other OR therapeutic procedures; female organs
133,Episiotomy
134,Cesarean section
135,Forceps; vacuum; and breech delivery
136,Artificial rupture of membranes to assist delivery
137,Other procedures to assist delivery
138,Diagnostic amniocentesis
139,Fetal monitoring
14,Glaucoma procedures
140,Repair of current obstetric laceration
141,Other therapeutic obstetrical procedures
142,Partial excision bone
143,Bunionectomy or repair of toe deformities
144,Treatment; facial fracture or dislocation
145,Treatment; fracture or dislocation of radius and ulna
146,Treatment; fracture or dislocation of hip and femur
147,Treatment; fracture or dislocation of lower extremity (other than hip or femur)
148,Other fracture and dislocation procedure
149,Arthroscopy
15,Lens and cataract procedures
150,Division of joint capsule; ligament or cartilage
151,Excision of semilunar cartilage of knee
152,Arthroplasty knee
153,Hip replacement; total and partial
