ICD10CM,CCSCM
A15.0,1
A15.4,1
A15.5,1
A15.6,1
A15.7,1
A15.8,1
A15.9,1
A17.0,1
A17.1,1
A17.81,1
A17.82,1
A17.83,1
A17.89,1
A17.9,1
A18.01,1
A18.02,1
A18.03,1
A18.09,1
A18.10,1
A18.11,1
A18.12,1
A18.13,1
A18.14,1
A18.15,1
A18.16,1
A18.17,1
A18.18,1
A18.2,1
A18.31,1
A18.32,1
A18.39,1
A18.4,1
A18.50,1
A18.51,1
A18.52,1
A18.53,1
A18.54,1
A18.59,1
A18.6,1
A18.7,1
A18.81,1
A18.82,1
A18.83,1
A18.84,1
A18.85,1
A18.89,1
A19.0,1
A19.1,1
A19.2,1
A19.8,1
A19.9,1
B90.0,1
B90.1,1
B90.2,1
B90.8,1
B90.9,1
J65,1
Z86.11,1
A02.1,2
A20.7,2
A22.7,2
A26.7,2
A32.7,2
A39.2,2
A39.3,2
A39.4,2
A40.0,2
A40.1,2
A40.3,2
A40.8,2
A40.9,2
A41.01,2
A41.02,2
A41.1,2
A41.2,2
A41.3,2
A41.4,2
A41.50,2
A41.51,2
A41.52,2
A41.53,2
A41.59,2
A41.81,2
A41.89,2
A41.9,2
A42.7,2
A54.86,2
B00.7,2
B37.7,2
I76,2
P36.0,2
P36.10,2
P36.19,2
P36.2,2
P36.30,2
P36.39,2
P36.4,2
P36.5,2
P36.8,2
P36.9,2
R65.20,2
A01.02,3
A20.0,3
A20.8,3
A20.9,3
A21.7,3
A21.8,3
A21.9,3
A22.8,3
A22.9,3
A23.0,3
A23.1,3
A23.2,3
A23.3,3
A23.8,3
A23.9,3
A24.0,3
A24.1,3
A24.2,3
A24.3,3
A24.9,3
A25.0,3
A25.1,3
A25.9,3
A26.0,3
A26.8,3
A26.9,3
A27.89,3
A28.0,3
A28.1,3
A28.2,3
A28.8,3
A28.9,3
A30.0,3
A30.1,3
A30.2,3
A30.3,3
A30.4,3
A30.5,3
A30.8,3
A30.9,3
A31.2,3
A31.8,3
A31.9,3
A32.0,3
A32.81,3
A32.82,3
A32.89,3
A32.9,3
A35,3
A36.82,3
A36.83,3
A36.84,3
A36.89,3
A36.9,3
A37.00,3
A37.10,3
A37.80,3
A37.81,3
A37.90,3
A37.91,3
A38.0,3
A38.8,3
A38.9,3
A39.1,3
A39.82,3
A39.89,3
A39.9,3
A42.0,3
A42.1,3
A42.2,3
A42.89,3
A42.9,3
A43.8,3
A43.9,3
A44.0,3
A44.1,3
A44.8,3
A44.9,3
A48.0,3
A48.2,3
A48.3,3
A48.4,3
A48.52,3
A48.8,3
A49.01,3
A49.02,3
A49.1,3
A49.2,3
A49.3,3
A49.8,3
A49.9,3
A70,3
A74.89,3
A74.9,3
A78,3
B47.1,3
B47.9,3
B95.0,3
B95.1,3
B95.2,3
B95.3,3
B95.4,3
B95.5,3
B95.61,3
B95.62,3
B95.7,3
B95.8,3
B96.0,3
B96.1,3
B96.20,3
B96.21,3
B96.22,3
B96.23,3
B96.29,3
B96.3,3
B96.4,3
B96.5,3
B96.6,3
B96.7,3
B96.81,3
B96.82,3
B96.89,3
I00,3
I02.9,3
K90.81,3
R78.81,3
Z16.10,3
Z16.11,3
Z16.12,3
Z16.19,3
Z16.20,3
Z16.21,3
Z16.22,3
Z16.23,3
Z16.24,3
Z16.29,3
Z16.30,3
Z16.341,3
Z16.342,3
Z16.35,3
Z16.39,3
Z86.14,3
B35.0,4
B35.1,4
B35.2,4
B35.3,4
B35.4,4
B35.5,4
B35.6,4
B35.8,4
B35.9,4
B36.0,4
B36.1,4
B36.2,4
B36.3,4
B36.8,4
B36.9,4
B37.0,4
B37.2,4
B37.3,4
B37.41,4
B37.42,4
B37.49,4
B37.81,4
B37.82,4
B37.83,4
B37.84,4
B37.89,4
B37.9,4
B38.3,4
B38.7,4
B38.81,4
B38.89,4
B38.9,4
B39.3,4
B39.4,4
B39.5,4
B39.9,4
B40.0,4
B40.1,4
B40.2,4
B40.3,4
B40.7,4
B40.89,4
B40.9,4
B41.0,4
