code,parent_code,name
806.11,806.1,Open fracture of C1-C4 level with complete lesion of cord
642.41,642.4,"Mild or unspecified pre-eclampsia, delivered, with or without mention of antepartum condition"
647.13,647.1,"Gonorrhea of mother, complicating pregnancy, childbirth, or the puerperium, antepartum condition or complication"
374.21,374.2,Paralytic lagophthalmos
679.00,679.0,"Maternal complications from in utero procedure, unspecified as to episode of care or not applicable"
013.41,013.4,"Tuberculoma of spinal cord, bacteriological or histological examination not done"
202.03,202.0,"Nodular lymphoma, intra-abdominal lymph nodes"
996.65,996.6,"Infection and inflammatory reaction due to other genitourinary device, implant, and graft"
303.00,303.0,"Acute alcoholic intoxication in alcoholism, unspecified"
722.39,722.3,"Schmorl's nodes, other region"
927.03,927.0,Crushing injury of upper arm
743.63,743.6,Other specified congenital anomalies of eyelid
V25.09,V25.0,Other general counseling and advice on contraceptive management
488.09,488.0,Influenza due to identified avian influenza virus with other manifestations
816.03,816.0,Closed fracture of multiple sites of phalanx or phalanges of hand
718.20,718.2,"Pathological dislocation of joint, site unspecified"
754.79,754.7,Other deformities of feet
313.82,313.8,Identity disorder of childhood or adolescence
307.49,307.4,Other specific disorders of sleep of nonorganic origin
363.43,363.4,Angioid streaks of choroid
202.82,202.8,"Other malignant lymphomas, intrathoracic lymph nodes"
V72.12,V72.1,Encounter for hearing conservation and treatment
825.34,825.3,"Open fracture of cuneiform, foot"
E962.2,E962,Assault by other gases and vapors
649.34,649.3,"Coagulation defects complicating pregnancy, childbirth, or the puerperium, postpartum condition or complication"
652.70,652.7,"Prolapsed arm of fetus, unspecified as to episode of care or not applicable"
861.20,861.2,Unspecified injury of lung without mention of open wound into thorax
660.81,660.8,"Other causes of obstructed labor, delivered, with or without mention of antepartum condition"
E999.0,E999,Late effect of injury due to war operations
201.46,201.4,"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes"
404.01,404.0,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
488.8,488,Influenza due to novel influenza A
488.0,488,Influenza due to identified avian influenza virus
488.1,488,Influenza due to identified 2009 H1N1 influenza virus
E993.1,E993,Injury due to war operations by guided missile
942.00,942.0,"Burn of unspecified degree of trunk, unspecified site"
E830.3,E830,Accident to watercraft causing submersion injuring occupant of other watercraft -- other than crew
804.55,804.5,"Open fractures involving skull or face with other bones, without mention of intracranial injury, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level"
V25.12,V25.1,Encounter for removal of intrauterine contraceptive device
385.21,385.2,Impaired mobility of malleus
569.49,569.4,Other specified disorders of rectum and anus
E836.5,E836,Machinery accident in water transport injuring swimmer
523.42,523.4,"Chronic periodontitis, generalized"
645.2,645,Prolonged pregnancy
645.1,645,Post term pregnancy
207.12,207.1,"Chronic erythremia, in relapse"
E943.4,E943,Digestants causing adverse effects in therapeutic use
201.05,201.0,"Hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb"
304.61,304.6,"Other specified drug dependence, continuous"
996.70,996.7,"Other complications due to unspecified device, implant, and graft"
786.50,786.5,"Chest pain, unspecified"
705.82,705.8,Fox-Fordyce disease
E902.9,E902,Accident due to changes in air pressure from unspecified cause
051.02,051.0,Vaccinia not from vaccination
839.11,839.1,"Open dislocation, first cervical vertebra"
364.56,364.5,Degenerative changes of chamber angle
V64.06,V64.0,Vaccination not carried out because of patient refusal
289.89,289.8,Other specified diseases of blood and blood-forming organs
948.72,948.7,"Burn [any degree] involving 70-79 percent of body surface with third degree burn, 20-29%"
V72.9,V72,Unspecified examination
V72.2,V72,Dental examination
V72.0,V72,Examination of eyes and vision
V72.3,V72,Special investigations and examinations - Gynecological examination
V72.1,V72,Examination of ears and hearing
V72.6,V72,Laboratory examination
V72.5,V72,"Radiological examination, not elsewhere classified"
V72.7,V72,Diagnostic skin and sensitization tests
V72.4,V72,Pregnancy examination or test
V72.8,V72,Other specified examinations
764.16,764.1,"""Light-for-dates"" with signs of fetal malnutrition, 1,500-1,749 grams"
673.13,673.1,"Amniotic fluid embolism, antepartum condition or complication"
369.03,369.0,Better eye: near-total vision impairment; lesser eye: total vision impairment
800.43,800.4,"Closed fracture of vault of skull with intracranial injury of other and unspecified nature, with moderate [1-24 hours] loss of consciousness"
782.62,782.6,Flushing
016.52,016.5,"Tuberculosis of other male genital organs, bacteriological or histological examination unknown (at present)"
E905.3,E905,"Sting of hornets, wasps, and bees causing poisoning and toxic reactions"
783.40,783.4,"Lack of normal physiological development, unspecified"
806.07,806.0,Closed fracture of C5-C7 level with anterior cord syndrome
