code,parent_code,name
94.62,94.6,Alcohol detoxification
94.69,94.6,Combined alcohol and drug rehabilitation and detoxification
94.6,94,Alcohol and drug rehabilitation and detoxification
94.61,94.6,Alcohol rehabilitation
94.67,94.6,Combined alcohol and drug rehabilitation
94.66,94.6,Drug rehabilitation and detoxification
94.64,94.6,Drug rehabilitation
94.63,94.6,Alcohol rehabilitation and detoxification
94.65,94.6,Drug detoxification
94.68,94.6,Combined alcohol and drug detoxification
48.5,48,Abdominoperineal resection of rectum
48.51,48.5,Laparoscopic abdominoperineal resection of the rectum
48.59,48.5,Other abdominoperineal resection of the rectum
48.52,48.5,Open abdominoperineal resection of the rectum
48.50,48.5,"Abdominoperineal resection of the rectum, not otherwise specified"
62.1,62,Diagnostic procedures on testes
62.19,62.1,Other diagnostic procedures on testes
62.11,62.1,Closed [percutaneous] [needle] biopsy of testis
62.12,62.1,Open biopsy of testis
21.4,21,Resection of nose
83.4,83,"Other excision of muscle, tendon, and fascia"
83.43,83.4,Excision of muscle or fascia for graft
83.41,83.4,Excision of tendon for graft
83.42,83.4,Other tenonectomy
83.49,83.4,Other excision of soft tissue
83.44,83.4,Other fasciectomy
83.45,83.4,Other myectomy
80.1,80,Other arthrotomy
80.15,80.1,"Other arthrotomy, hip"
80.13,80.1,"Other arthrotomy, wrist"
80.16,80.1,"Other arthrotomy, knee"
80.17,80.1,"Other arthrotomy, ankle"
80.14,80.1,"Other arthrotomy, hand and finger"
80.19,80.1,"Other arthrotomy, other specified sites"
80.18,80.1,"Other arthrotomy, foot and toe"
80.11,80.1,"Other arthrotomy, shoulder"
80.12,80.1,"Other arthrotomy, elbow"
80.10,80.1,"Other arthrotomy, unspecified site"
00.5,00-00.99,Other cardiovascular procedures
00.56,00.5,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring
00.51,00.5,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
00.50,00.5,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"
00.58,00.5,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative)
00.52,00.5,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system
00.53,00.5,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]
00.59,00.5,Intravascular pressure measurement of coronary arteries
00.54,00.5,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]
00.55,00.5,Insertion of drug-eluting stent(s) of other peripheral vessel(s)
00.57,00.5,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring
38.4,38,Resection of vessel with replacement
38.42,38.4,"Resection of vessel with replacement, other vessels of head and neck"
38.41,38.4,"Resection of vessel with replacement, intracranial vessels"
38.45,38.4,"Resection of vessel with replacement, thoracic vessels"
38.40,38.4,"Resection of vessel with replacement, unspecified site"
38.47,38.4,"Resection of vessel with replacement, abdominal veins"
38.43,38.4,"Resection of vessel with replacement, upper limb vessels"
38.46,38.4,"Resection of vessel with replacement, abdominal arteries"
38.48,38.4,"Resection of vessel with replacement, lower limb arteries"
38.49,38.4,"Resection of vessel with replacement, lower limb veins"
38.44,38.4,"Resection of vessel with replacement, aorta, abdominal"
39.2,39,Other shunt or vascular bypass
39.25,39.2,Aorta-iliac-femoral bypass
39.23,39.2,Other intrathoracic vascular shunt or bypass
39.22,39.2,Aorta-subclavian-carotid bypass
39.27,39.2,Arteriovenostomy for renal dialysis
39.29,39.2,Other (peripheral) vascular shunt or bypass
39.21,39.2,Caval-pulmonary artery anastomosis
39.24,39.2,Aorta-renal bypass
39.28,39.2,Extracranial-intracranial (EC-IC) vascular bypass
39.26,39.2,Other intra-abdominal vascular shunt or bypass
08,08-16.99,Operations on eyelids
18.9,18,Other operations on external ear
96.58,96.5,Irrigation of wound catheter
96.5,96,Other nonoperative irrigation and cleaning
96.52,96.5,Irrigation of ear
96.56,96.5,Other lavage of bronchus and trachea
96.54,96.5,"Dental scaling, polishing, and debridement"
96.53,96.5,Irrigation of nasal passages
96.51,96.5,Irrigation of eye
96.55,96.5,Tracheostomy toilette
96.59,96.5,Other irrigation of wound
96.57,96.5,Irrigation of vascular catheter
82.42,82.4,Delayed suture of flexor tendon of hand
82.4,82,"Suture of muscle, tendon, and fascia of hand"
82.45,82.4,Other suture of other tendon of hand
82.46,82.4,Suture of muscle or fascia of hand
82.43,82.4,Delayed suture of other tendon of hand
82.44,82.4,Other suture of flexor tendon of hand
82.41,82.4,Suture of tendon sheath of hand
55.98,55.9,Removal of mechanical kidney
55.9,55,Other operations on kidney
55.92,55.9,Percutaneous aspiration of kidney (pelvis)
55.97,55.9,Implantation or replacement of mechanical kidney
55.91,55.9,Decapsulation of kidney
55.93,55.9,Replacement of nephrostomy tube
55.95,55.9,Local perfusion of kidney
55.94,55.9,Replacement of pyelostomy tube
55.96,55.9,Other injection of therapeutic substance into kidney
55.99,55.9,Other operations on kidney
65.6,65,Bilateral salpingo-oophorectomy
65.64,65.6,Laparoscopic removal of remaining ovary and tube
65.62,65.6,Other removal of remaining ovary and tube
65.63,65.6,Laparoscopic removal of both ovaries and tubes at same operative episode
65.61,65.6,Other removal of both ovaries and tubes at same operative episode
38.0,38,Incision of vessel
38.07,38.0,"Incision of vessel, abdominal veins"
38.04,38.0,"Incision of vessel, aorta"
38.02,38.0,"Incision of vessel, other vessels of head and neck"
38.00,38.0,"Incision of vessel, unspecified site"
38.09,38.0,"Incision of vessel, lower limb veins"
38.06,38.0,"Incision of vessel, abdominal arteries"
38.03,38.0,"Incision of vessel, upper limb vessels"
38.08,38.0,"Incision of vessel, lower limb arteries"
38.01,38.0,"Incision of vessel, intracranial vessels"
38.05,38.0,"Incision of vessel, other thoracic vessels"
13.19,13.1,Other intracapsular extraction of lens
13.1,13,Intracapsular extraction of lens
13.11,13.1,Intracapsular extraction of lens by temporal inferior route
44.4,44,Control of hemorrhage and suture of ulcer of stomach or duodenum
44.42,44.4,Suture of duodenal ulcer site
44.49,44.4,Other control of hemorrhage of stomach or duodenum
44.40,44.4,"Suture of peptic ulcer, not otherwise specified"
44.41,44.4,Suture of gastric ulcer site
44.44,44.4,Transcatheter embolization for gastric or duodenal bleeding
44.43,44.4,Endoscopic control of gastric or duodenal bleeding
15.4,15,"Other operations on two or more extraocular muscles, one or both eyes"
13.0,13,Removal of foreign body from lens
13.01,13.0,Removal of foreign body from lens with use of magnet
13.02,13.0,Removal of foreign body from lens without use of magnet
13.00,13.0,"Removal of foreign body from lens, not otherwise specified"
70.6,70,Vaginal construction and reconstruction
70.64,70.6,Vaginal reconstruction with graft or prosthesis
70.61,70.6,Vaginal construction
70.62,70.6,Vaginal reconstruction
70.63,70.6,Vaginal construction with graft or prosthesis
91,87-99.99,Microscopic examination-II
13.65,13.6,Excision of secondary membrane [after cataract]
13.6,13,Other cataract extraction
13.69,13.6,Other cataract extraction
13.66,13.6,Mechanical fragmentation of secondary membrane [after cataract]
13.64,13.6,Discission of secondary membrane [after cataract]
51.5,51,Other incision of bile duct
51.51,51.5,Exploration of common duct
51.59,51.5,Other incision of other bile duct
86.26,86.2,Ligation of dermal appendage
86.2,86,Excision or destruction of lesion or tissue of skin and subcutaneous tissue
86.22,86.2,"Excisional debridement of wound, infection, or burn"
86.25,86.2,Dermabrasion
86.24,86.2,Chemosurgery of skin
86.21,86.2,Excision of pilonidal cyst or sinus
86.27,86.2,"Debridement of nail, nail bed, or nail fold"
86.28,86.2,"Nonexcisional debridement of wound, infection or burn"
86.23,86.2,"Removal of nail, nail bed, or nail fold"
